"","Country.Region","date","retail_and_recreation_percent_change_from_baseline","grocery_and_pharmacy_percent_change_from_baseline","parks_percent_change_from_baseline","transit_stations_percent_change_from_baseline","workplaces_percent_change_from_baseline","residential_percent_change_from_baseline","CumCaseNumber","IncCaseNumber","Continent","NumDate","CountryName","Date","StringencyIndex"
"855","Sweden",2020-08-03,12,8,246,-27,-50,7,5774,0.197711880408038,"EU",170,"Sweden",2020-08-03,37.04
"856","Sweden",2020-08-04,9,5,301,-25,-50,7,5775,0.0988559402040189,"EU",171,"Sweden",2020-08-04,37.04
"857","Sweden",2020-08-05,7,5,205,-30,-50,8,5780,0.494279701020094,"EU",172,"Sweden",2020-08-05,37.04
"858","Sweden",2020-08-06,3,5,301,-26,-50,7,5783,0.296567820612057,"EU",173,"Sweden",2020-08-06,37.04
"859","Sweden",2020-08-07,-9,-5,360,-24,-50,4,5785,0.197711880408038,"EU",174,"Sweden",2020-08-07,37.04
"860","Sweden",2020-08-08,-15,-5,380,2,-1,-5,5789,0.395423760816076,"EU",175,"Sweden",2020-08-08,37.04
"861","Sweden",2020-08-09,-4,1,304,-7,3,-6,5791,0.197711880408038,"EU",176,"Sweden",2020-08-09,37.04
"862","Sweden",2020-08-10,5,6,242,-25,-40,5,5795,0.395423760816076,"EU",177,"Sweden",2020-08-10,37.04
"863","Sweden",2020-08-11,2,2,279,-24,-39,5,5798,0.296567820612057,"EU",178,"Sweden",2020-08-11,37.04
"864","Sweden",2020-08-12,2,2,266,-24,-38,5,5803,0.494279701020094,"EU",179,"Sweden",2020-08-12,37.04
"865","Sweden",2020-08-13,0,4,249,-24,-38,5,5803,0,"EU",180,"Sweden",2020-08-13,37.04
"866","Sweden",2020-08-14,-7,-4,273,-24,-39,3,5804,0.0988559402040189,"EU",181,"Sweden",2020-08-14,37.04
"867","Sweden",2020-08-15,-14,-4,342,1,1,-5,5804,0,"EU",182,"Sweden",2020-08-15,37.04
"868","Sweden",2020-08-16,-7,0,292,-8,4,-5,5806,0.197711880408038,"EU",183,"Sweden",2020-08-16,37.04
"869","Sweden",2020-08-17,-1,2,212,-24,-34,4,5812,0.593135641224113,"EU",184,"Sweden",2020-08-17,37.04
"870","Sweden",2020-08-18,-2,1,229,-21,-31,4,5813,0.0988559402040189,"EU",185,"Sweden",2020-08-18,37.04
"871","Sweden",2020-08-19,-3,1,174,-22,-30,4,5814,0.0988559402040189,"EU",186,"Sweden",2020-08-19,37.04
"872","Sweden",2020-08-20,-2,3,140,-23,-30,4,5815,0.0988559402040189,"EU",187,"Sweden",2020-08-20,37.04
"873","Sweden",2020-08-21,-7,-3,133,-22,-30,4,5816,0.0988559402040189,"EU",188,"Sweden",2020-08-21,37.04
"874","Sweden",2020-08-22,-8,-3,152,-11,2,0,5816,0,"EU",189,"Sweden",2020-08-22,37.04
"875","Sweden",2020-08-23,-5,-3,110,-19,3,-1,5816,0,"EU",190,"Sweden",2020-08-23,37.04
"876","Sweden",2020-08-24,-3,-3,106,-24,-28,4,5816,0,"EU",191,"Sweden",2020-08-24,37.04
"877","Sweden",2020-08-25,4,4,139,-20,-28,3,5816,0,"EU",192,"Sweden",2020-08-25,37.04
"878","Sweden",2020-08-26,0,1,98,-23,-27,4,5816,0,"EU",193,"Sweden",2020-08-26,37.04
"879","Sweden",2020-08-27,2,4,106,-22,-27,4,5820,0.395423760816076,"EU",194,"Sweden",2020-08-27,37.04
"880","Sweden",2020-08-28,-2,-3,107,-21,-28,3,5821,0.0988559402040189,"EU",195,"Sweden",2020-08-28,37.04
"881","Sweden",2020-08-29,-5,-3,87,-15,0,0,5821,0,"EU",196,"Sweden",2020-08-29,37.04
"882","Sweden",2020-08-30,0,-2,110,-17,4,-1,5821,0,"EU",197,"Sweden",2020-08-30,37.04
"883","Sweden",2020-08-31,-2,-2,92,-24,-28,4,5808,0,"EU",198,"Sweden",2020-08-31,37.04
"884","Sweden",2020-09-01,-3,-2,138,-20,-28,4,5813,0.494279701020094,"EU",199,"Sweden",2020-09-01,37.04
"885","Sweden",2020-09-02,-5,-2,103,-24,-27,4,5820,0.691991581428132,"EU",200,"Sweden",2020-09-02,37.04
"886","Sweden",2020-09-03,-6,0,85,-25,-28,5,5832,1.18627128244823,"EU",201,"Sweden",2020-09-03,37.04
"887","Sweden",2020-09-04,-6,-3,93,-23,-29,4,5835,0.296567820612057,"EU",202,"Sweden",2020-09-04,37.04
"888","Sweden",2020-09-05,-5,-3,113,-12,0,0,5835,0,"EU",203,"Sweden",2020-09-05,37.04
"889","Sweden",2020-09-06,-6,-4,99,-20,1,0,5835,0,"EU",204,"Sweden",2020-09-06,37.04
"890","Sweden",2020-09-07,-5,-2,99,-24,-28,4,5837,0.197711880408038,"EU",205,"Sweden",2020-09-07,37.04
"891","Sweden",2020-09-08,-8,-3,86,-25,-29,5,5838,0.0988559402040189,"EU",206,"Sweden",2020-09-08,37.04
"892","Sweden",2020-09-09,-10,-4,59,-28,-27,5,5842,0.395423760816076,"EU",207,"Sweden",2020-09-09,37.04
"893","Sweden",2020-09-10,-5,-1,98,-23,-27,4,5843,0.0988559402040189,"EU",208,"Sweden",2020-09-10,37.04
"894","Sweden",2020-09-11,-7,-4,101,-22,-27,3,5846,0.296567820612057,"EU",209,"Sweden",2020-09-11,37.04
"895","Sweden",2020-09-12,-10,-5,75,-17,-3,0,5846,0,"EU",210,"Sweden",2020-09-12,37.04
"896","Sweden",2020-09-13,-8,-5,84,-21,0,-1,5846,0,"EU",211,"Sweden",2020-09-13,37.04
"897","Sweden",2020-09-14,-7,-3,97,-23,-22,3,5846,0,"EU",212,"Sweden",2020-09-14,37.04
"898","Sweden",2020-09-15,-7,-4,133,-20,-22,3,5851,0.494279701020094,"EU",213,"Sweden",2020-09-15,37.04
"899","Sweden",2020-09-16,-9,-5,87,-24,-22,4,5860,0.88970346183617,"EU",214,"Sweden",2020-09-16,37.04
"900","Sweden",2020-09-17,-7,-3,90,-24,-23,3,5864,0.395423760816076,"EU",215,"Sweden",2020-09-17,37.04
"901","Sweden",2020-09-18,-4,-2,110,-20,-23,2,5865,0.0988559402040189,"EU",216,"Sweden",2020-09-18,37.04
"902","Sweden",2020-09-19,-4,-3,152,-7,2,-2,5865,0,"EU",217,"Sweden",2020-09-19,37.04
"903","Sweden",2020-09-20,-7,-4,101,-19,2,-1,5865,0,"EU",218,"Sweden",2020-09-20,37.04
"904","Sweden",2020-09-21,-7,-4,72,-24,-23,4,5865,0,"EU",219,"Sweden",2020-09-21,37.04
"905","Sweden",2020-09-22,-7,-3,99,-23,-21,4,5870,0.494279701020094,"EU",220,"Sweden",2020-09-22,37.04
"906","Sweden",2020-09-23,-8,-4,98,-25,-20,4,5876,0.593135641224113,"EU",221,"Sweden",2020-09-23,37.04
"907","Sweden",2020-09-24,-8,-2,64,-26,-20,4,5878,0.197711880408038,"EU",222,"Sweden",2020-09-24,37.04
"908","Sweden",2020-09-25,0,0,61,-24,-22,3,5880,0.197711880408038,"EU",223,"Sweden",2020-09-25,37.04
"909","Sweden",2020-09-26,0,0,63,-16,2,0,5880,0,"EU",224,"Sweden",2020-09-26,37.04
"910","Sweden",2020-09-27,0,-1,93,-20,4,0,5880,0,"EU",225,"Sweden",2020-09-27,37.04
"911","Sweden",2020-09-28,-6,-3,48,-26,-19,5,5880,0,"EU",226,"Sweden",2020-09-28,37.04
"912","Sweden",2020-09-29,-6,-2,66,-25,-19,4,5890,0.988559402040189,"EU",227,"Sweden",2020-09-29,37.04
"913","Sweden",2020-09-30,-5,-1,73,-25,-19,4,5893,0.296567820612057,"EU",228,"Sweden",2020-09-30,37.04
